TF,Entrez ID,0131_log2FC,0131_p-value,0131_FDR,0827_log2FC,0827_p-value,0827_FDR
CEBPE,1053,-0.721826384,0.079129542,0.527384186,-1.47027743,5.99E-05,0.002420089
E2F4,1874,0.3926069,0.224270308,0.764627582,-1.468403555,1.18E-04,0.004019923
HOXD3,3232,-1.065171627,0.031481951,0.337985083,-1.124602496,8.24E-05,0.003081279
KLF1,10661,0.434757951,0.353755777,0.853394967,-1.34052161,3.99E-07,0.0000454
KLF17,128209,-1.046757898,0.001915904,0.045516096,1.581855669,7.74E-03,0.075320983
KLF6,1316,0.720335132,0.024567008,0.29278781,-1.042981386,7.01E-04,0.014811536
MYB,4602,0.142856188,0.394717148,0.872181301,0.60446481,3.25E-04,0.008556264
RXRB,6257,-0.545081335,0.208045522,0.747251464,2.253538011,1.54E-03,0.025659726
ZFP42,132625,0.327541309,0.216619386,0.756686043,1.017742857,1.03E-04,0.003651008
ZIC5,85416,0.205218393,0.438494321,0.890496002,1.184860064,1.45E-03,0.02469914
ZNF148,7707,-1.463118084,0.000059,0.002284223,1.043139418,3.27E-03,0.043056073
ZNF217,7764,-0.671581014,0.122855687,0.628717167,-1.603330503,4.90E-04,0.011493356
ZSCAN4,201516,-0.999544648,0.044933361,0.408485725,1.086027274,3.11E-03,0.041582782
CREB1,1385,-1.130809842,0.010983767,0.172565055,-1.914304124,3.67E-05,0.001653565
ELK1,2002,0.733448052,0.044413743,0.406799669,-2.556762163,3.77E-08,0.00000671
GABPA,2551,-1.697727106,0.000477495,0.014219013,-1.057036762,2.82E-02,0.167303981
IKZF1,10320,0.412194918,0.139808723,0.657915113,0.871991977,2.42E-05,0.001211327
IRF1,3659,-0.57632628,0.094265935,0.567430876,0.635889246,3.89E-03,0.048170099
JUNB,3726,-0.315325218,0.486118783,0.90798097,-1.710510138,2.83E-04,0.007695092
KLF4,9314,0.351656253,0.221565638,0.762279491,-1.599522459,1.39E-04,0.004563804
NFKB1,4790,-0.421368536,0.401410086,0.874830298,-1.569574125,3.95E-06,0.000289526
PPARG,5468,0.31384077,0.205353064,0.744423908,1.437589814,6.94E-05,0.002704516
SOX5,6660,-1.076302837,0.001890329,0.044991225,-1.381646973,1.03E-04,0.00363483
TCF4,6925,-0.629509715,0.08853094,0.553320514,0.850593875,2.43E-04,0.006848162
TFAP2C,7022,-1.774810134,0.00000657,0.000321332,-0.522675594,4.49E-02,0.219945461
TFCP2L1,29842,-0.290563286,0.276229641,0.805798822,-1.708070495,3.28E-04,0.008620274
ASCL2,430,0.143168903,0.695368591,0.957907706,-0.065075097,8.57E-01,0.951334622
CEBPD,1052,-0.34790874,0.351283288,0.852130936,0.997456879,6.56E-03,0.067266647
CREB3L3,84699,0.935068137,0.009032964,0.149398802,0.42726002,1.52E-01,0.432275504
CREB5,9586,0.353227837,0.066363028,0.488140295,-0.635662875,1.61E-02,0.119306069
E2F3,1871,-0.968696789,0.022960931,0.28074028,-1.255043444,4.05E-02,0.207126994
E2F7,144455,0.562576385,0.221422106,0.762279491,1.078030883,5.39E-03,0.059423749
E2F8,79733,-0.658035823,0.058865557,0.462866077,-0.211908485,5.46E-01,0.793523978
EGR3,1960,-1.05962451,0.092523511,0.562047673,0.896639399,9.13E-03,0.083729717
ELF1,1997,0.518024254,0.029002037,0.322839385,0.258559566,2.14E-01,0.512840714
ELK3,2004,-0.358636989,0.19080633,0.727656524,0.312958573,2.23E-01,0.523014838
ESX1,80712,0.536483049,0.100184177,0.58249067,-0.308345043,4.38E-01,0.721872982
ETS2,2114,0.187833533,0.513777219,0.914429891,0.372002308,1.94E-01,0.489438539
ETV1,2115,-0.414185461,0.195257726,0.732649079,0.405076293,2.37E-02,0.150887483
ETV6,2120,0.499182012,0.164022205,0.691998645,0.52846029,2.63E-02,0.160824462
ETV7,51513,0.636301565,0.091173398,0.560031731,0.342294177,5.36E-02,0.24314664
GATA1,2623,0.506922822,0.080677967,0.531408903,0.772221132,6.99E-02,0.282384979
GATA2,2624,-0.493223238,0.209639672,0.748974732,0.111836081,5.23E-01,0.780172582
GATA3,2625,0.196934854,0.523099007,0.917801232,-0.435535867,1.60E-01,0.443966818
HAND1,9421,1.002623528,0.007756434,0.13379953,-0.810912984,3.33E-02,0.18481965
IRF4,3662,0.337484667,0.286948659,0.814653812,0.797619645,1.15E-02,0.096846454
ISL1,3670,0.397209519,0.127377111,0.638049141,0.180052379,4.95E-01,0.762176119
ISX,91464,-0.419470514,0.372324304,0.861799237,0.40597396,2.11E-01,0.508374032
KLF12,11278,0.84094115,0.065369296,0.484859798,-0.595510246,5.25E-02,0.240235129
KLF2,10365,0.695748187,0.105806583,0.594893898,-1.20540592,1.47E-02,0.112768727
LEF1,51176,-0.45940991,0.083179675,0.5389672,-0.589817128,2.67E-02,0.162000676
MAFB,9935,-0.386526473,0.326951799,0.838997416,-0.851618386,7.25E-02,0.288573185
MGA,23269,-0.4422383,0.101529917,0.584749332,0.622079246,1.96E-02,0.134481777
