TF,Entrez ID,Fold Change,P-Value,BH P-Value
HMGB2,3148,2.024,3.41E-41,2.69E-38
HIF1A,3091,1.468,3.01E-28,1.19E-25
HOXA7,3204,2.909,1.39E-25,3.66E-23
HOXC9,3225,2.988,7.03E-25,1.39E-22
HOXA5,3202,3.224,2.02E-22,2.66E-20
PAX3,5077,1.337,1.97E-22,2.66E-20
BATF2,116071,1.61,3.92E-21,4.42E-19
HOXA2,3199,0.958,2.55E-20,2.51E-18
OTP,23440,1.388,2.44E-18,2.14E-16
VAX2,25806,0.881,4.85E-18,3.82E-16
HOXD10,3236,2.824,3.10E-17,2.22E-15
LHX6,26468,-3.765,4.24E-17,2.78E-15
GSC,145258,3.164,2.63E-16,1.59E-14
DLX6,1750,-1.767,7.74E-16,4.36E-14
CDKN2A,1029,0.134,1.42E-15,7.44E-14
PTTG1,9232,1.871,1.66E-15,8.15E-14
HOXA3,3200,2.274,3.45E-15,1.51E-13
HOXA4,3201,5.042,1.15E-14,4.77E-13
MEOX2,4223,3.634,1.54E-14,6.08E-13
TCF19,6941,1.536,1.97E-14,7.39E-13
NKX6-2,84504,-0.915,2.67E-14,9.58E-13
SHOX2,6474,3.155,8.04E-14,2.76E-12
EMX2,2018,-1.785,1.26E-13,4.15E-12
HOXB2,3212,2.126,3.61E-13,1.14E-11
RCAN1,1827,1.411,6.11E-13,1.85E-11
HOXB3,3213,2.458,1.17E-12,3.40E-11
HOXB7,3217,1.079,1.22E-12,3.44E-11
PEG3,5178,-3.077,1.62E-12,4.40E-11
GLIS3,169792,1.457,1.73E-12,4.41E-11
HOXC13,3229,1.073,1.70E-12,4.41E-11
NFE2L3,9603,1.879,5.72E-12,1.41E-10
FOXM1,2305,1.736,6.67E-12,1.59E-10
MYT1L,23040,-3.92,1.15E-11,2.67E-10
RBCK1,10616,0.737,1.95E-11,4.28E-10
LHX2,9355,-1.995,2.39E-11,5.09E-10
STAT3,6774,1.182,5.09E-11,1.03E-09
HOXA10,3206,2.259,8.04E-11,1.58E-09
HOXD11,3237,1.758,1.02E-10,1.93E-09
RUNX1T1,862,-2.804,1.05E-10,1.93E-09
TAL1,6886,-1.208,1.03E-10,1.93E-09
MSRB2,22921,-0.775,1.55E-10,2.78E-09
TCF12,6938,2.198,1.59E-10,2.78E-09
HOXA9,3205,2.257,2.16E-10,3.62E-09
FBXW7,55294,-3.021,2.25E-10,3.69E-09
MYBL2,4605,1.109,2.56E-10,4.12E-09
ETV7,51513,1.02,3.02E-10,4.75E-09
STAT4,6775,-2.304,3.25E-10,5.02E-09
ARNT2,9915,-1.619,3.48E-10,5.27E-09
ZNF217,7764,2.082,6.01E-10,8.78E-09
PRDM2,7799,-1.188,6.15E-10,8.81E-09
ID3,3399,2.577,6.39E-10,9.00E-09
HOXD3,3232,1.372,7.96E-10,1.10E-08
WNT5A,7474,1.488,8.20E-10,1.11E-08
NEUROD2,4761,-2.203,1.14E-09,1.50E-08
PBX3,5090,1.578,1.33E-09,1.72E-08
SOX2,6657,1.826,1.39E-09,1.77E-08
ETS1,2113,1.081,1.66E-09,2.04E-08
DLX1,1745,-1.353,1.75E-09,2.12E-08
TGIF2,60436,0.928,3.93E-09,4.55E-08
THRA,7067,-1.044,3.93E-09,4.55E-08
E2F6,1876,1.198,4.09E-09,4.67E-08
SMAD5,4090,1.177,4.18E-09,4.70E-08
TBX5,6910,0.327,4.32E-09,4.80E-08
