,k,M,n,N,P-value,Adj. P-value
Black,259,9946,2058,485,8.861015336384065e-61,2.569694447551379e-59
Magenta,289,9946,2058,573,9.49311653991026e-61,2.658072631174873e-59
Midnightblue,130,9946,2058,246,3.616982732734632e-30,9.765853378383507e-29
Greenyellow,117,9946,2058,302,9.15387299218556e-14,2.3800069779655224e-12
Purple,184,9946,2058,581,5.262226760634743e-11,1.3155566893279547e-09
Tan,137,9946,2058,431,1.1580693317625877e-08,2.779366026079858e-07
Skyblue,50,9946,2058,122,8.513257855772227e-08,1.958047473197054e-06
White,47,9946,2058,123,2.2417022560263666e-06,4.931628882202801e-05
Darkgreen,64,9946,2058,185,3.113348902196359e-06,6.537829146856782e-05
Green,222,9946,2058,862,7.406687289998623e-05,0.0014802955997472059
Blue,269,9946,2058,1134,0.003682721285896182,0.06770022104869318
Darkgrey,40,9946,2058,152,0.036932762318616544,0.49205234298972017
Orange,34,9946,2058,136,0.0899791072842038,0.79868637267078
Lightcyan,66,9946,2058,278,0.09046529607934647,0.79868637267078
Red,148,9946,2058,656,0.10242697295908408,0.8022816866939779
Lightyellow,46,9946,2058,194,0.12842535533016755,0.8540297925263747
Lightgreen,51,9946,2058,223,0.18433267430630404,0.929259218743278
Brown,267,9946,2058,1256,0.2840399122449505,0.9818588108643224
Grey60,48,9946,2058,229,0.42114286239468923,0.9975549636501659
Darkred,36,9946,2058,195,0.7511549104527867,0.9999990894773526
Darkturquoise,31,9946,2058,171,0.7676322769113265,0.9999990894773526
Grey,92,9946,2058,493,0.8613857957343649,0.9999998637106596
Cyan,45,9946,2058,269,0.9421001748916953,0.9999999978185726
Darkorange,22,9946,2058,155,0.9757623586631418,0.9999999997972587
Salmon,60,9946,2058,366,0.9794660150436103,0.9999999997972587
Royalblue,20,9946,2058,218,0.9999969102981703,0.9999999999999934
Pink,87,9946,2058,575,0.9997155603663022,0.9999999999999934
Turquoise,230,9946,2058,1369,0.9999448339002435,0.9999999999999934
Yellow,52,9946,2058,1019,1.0,1.0
