,k,M,n,N,P-value,Adj. P-value
Tan,48,9946,145,431,3.4280871782028545e-31,9.941452816788278e-30
Turquoise,62,9946,145,1369,1.425741382441816e-18,3.9920758708370845e-17
Blue,36,9946,145,1134,1.5031781195787566e-06,4.0585016138455927e-05
Darkturquoise,7,9946,145,171,0.00350961493523027,0.08735699693821268
Yellow,17,9946,145,1019,0.2277127919703307,0.9984351560547101
Darkorange,2,9946,145,155,0.3942678379333349,0.99999404700925
Skyblue,1,9946,145,122,0.5339121255742353,0.999999976299391
Black,6,9946,145,485,0.5658616022437515,0.9999999893384492
Orange,1,9946,145,136,0.593096307609027,0.9999999937002365
Darkgrey,1,9946,145,152,0.6537109942338413,0.9999999993851431
Darkred,1,9946,145,195,0.7813546267990943,0.9999999999997149
White,0,9946,145,123,0.837590847308805,0.9999999999999938
Red,6,9946,145,656,0.8507551711229188,0.9999999999999938
Brown,13,9946,145,1256,0.8905731886483438,0.9999999999999976
Pink,1,9946,145,575,0.9983279825447657,0.9999999999999976
Cyan,1,9946,145,269,0.9072239533316797,0.9999999999999976
Purple,2,9946,145,581,0.992185386039106,0.9999999999999976
Grey,3,9946,145,493,0.9337446136522223,0.9999999999999976
Green,6,9946,145,862,0.9728895098134941,0.9999999999999976
Magenta,0,9946,145,573,0.9998281206306568,0.9999999999999976
Lightyellow,0,9946,145,194,0.9437139095228544,0.9999999999999976
Royalblue,0,9946,145,218,0.9607288497029128,0.9999999999999976
Salmon,0,9946,145,366,0.9958180111101136,0.9999999999999976
Lightcyan,1,9946,145,278,0.9167747743248548,0.9999999999999976
Darkgreen,0,9946,145,185,0.9355943490025617,0.9999999999999976
Greenyellow,1,9946,145,302,0.9379455299672106,0.9999999999999976
Lightgreen,0,9946,145,223,0.9635702243727553,0.9999999999999976
Grey60,0,9946,145,229,0.9667115455903997,0.9999999999999976
Midnightblue,1,9946,145,246,0.8780135008265385,0.9999999999999976
